kernel,Runtime s,Average W, Total J
ndrange,3568,27.441923774954628,97940
ndrange_reduced,1222,24.553050397877985,30028
swi,5402,28.00689448441247,151293
swi_reduced_1cu,1295,24.744987468671678,32044
pipes,1133.7935013771057,31.948790896159316,36223
