kernel,Runtime s,Average W,Total J
swi,25670.02788758278,26.35682291338086,676580
swi_reduced_1cu,2030.3184835910797,25.011182108626198,50780
ndrange,24984.57239280395,25.698218480814408,642059
ndrange_reduced,2559.1876724931,24.247928616953473,62055
pipes,4484.771189212799,23.19342010122921,104017
